@relation _tm450

@attribute 6c:aa:b3:37:90:d8 integer
@attribute 6c:aa:b3:77:90:d8 integer
@attribute 6c:aa:b3:39:0b:bc integer
@attribute 6c:aa:b3:79:0b:bc integer
@attribute 6c:aa:b3:37:d1:2c integer
@attribute 6c:aa:b3:38:6a:58 integer
@attribute 6c:aa:b3:78:6a:58 integer
@attribute 6c:aa:b3:77:d1:2c integer
@attribute 6c:aa:b3:37:d1:28 integer
@attribute 6c:aa:b3:38:86:e8 integer
@attribute 6c:aa:b3:39:0b:b8 integer
@attribute 6c:aa:b3:77:d1:28 integer
@attribute 6c:aa:b3:78:86:e8 integer
@attribute 6c:aa:b3:79:0b:b8 integer
@attribute 84:18:3a:2c:6b:88 integer
@attribute 84:18:3a:6c:6b:88 integer
@attribute bc:4d:fb:0b:17:e8 integer
@attribute bc:4d:fb:0b:17:ea integer
@attribute 6c:aa:b3:37:c9:68 integer
@attribute 6c:aa:b3:77:c9:68 integer
@attribute 84:18:3a:2c:1b:c8 integer
@attribute 6c:aa:b3:3a:03:18 integer
@attribute 84:18:3a:6c:1b:c8 integer
@attribute 84:18:3a:29:0e:08 integer
@attribute 6c:aa:b3:ba:03:18 integer
@attribute 6c:aa:b3:39:e1:a8 integer
@attribute 6c:aa:b3:b9:e1:a8 integer
@attribute 6c:aa:b3:7a:03:18 integer
@attribute 6c:aa:b3:79:e1:a8 integer
@attribute 84:94:8c:e2:01:f8 integer
@attribute 84:94:8c:e2:01:fa integer
@attribute e8:fc:af:88:91:78 integer
@attribute 6c:aa:b3:ba:03:1c integer
@attribute 6c:aa:b3:7a:03:1c integer
@attribute 6c:aa:b3:3a:03:1c integer
@attribute 84:9c:a6:ca:83:0f integer
@attribute 02:23:08:60:36:48 integer

@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data
70,70,83,84,70,52,52,72,49,75,75,50,75,78,72,75,85,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
75,75,83,84,70,50,50,72,47,73,75,47,74,78,72,73,86,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
73,74,85,85,69,47,47,70,46,75,0,48,76,0,74,74,86,86,82,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
73,74,85,86,70,48,48,70,48,74,0,48,74,0,73,73,0,0,84,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
75,73,85,86,70,47,47,70,46,74,77,47,75,77,71,73,0,0,84,82,82,86,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
78,78,93,92,61,43,41,61,57,64,79,56,64,81,60,60,0,0,74,79,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
74,75,88,87,66,38,38,67,59,64,79,59,64,81,72,69,0,0,74,79,79,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
70,71,85,86,64,42,42,65,53,72,76,53,71,77,60,60,0,0,78,79,79,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
62,63,85,86,64,38,39,65,56,58,76,57,59,77,67,75,0,88,78,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
81,80,89,90,63,36,35,63,59,60,71,58,60,72,64,64,0,88,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
76,77,89,90,63,25,26,64,57,55,80,56,56,79,64,64,0,88,0,0,87,0,87,85,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
64,65,86,86,70,43,43,69,59,52,73,59,53,73,64,65,0,0,0,0,85,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2152
64,64,84,85,77,35,35,76,57,69,66,58,68,66,72,71,0,0,0,0,84,80,81,0,81,85,86,79,85,0,0,0,0,0,0,0,0,2152
79,80,0,0,68,49,49,66,63,79,77,64,78,78,69,69,0,0,77,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
73,72,89,89,58,44,44,57,48,76,77,47,76,78,73,74,0,0,72,72,73,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
70,71,84,84,67,50,50,72,54,76,75,56,74,73,72,76,0,0,82,82,82,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
73,73,84,84,58,48,48,59,42,80,75,42,80,73,73,73,0,0,76,76,72,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
72,74,90,88,62,43,43,62,47,80,73,47,80,73,67,69,0,0,72,73,73,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
82,81,0,0,84,46,45,85,69,78,0,69,79,0,74,73,0,0,0,0,81,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
82,81,0,0,84,50,48,85,66,81,0,66,83,0,75,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,78,49,50,77,69,77,0,72,76,0,75,76,0,0,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,94,90,75,45,45,74,77,79,0,78,79,0,70,70,0,0,0,0,87,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,94,90,75,46,46,76,72,83,0,71,81,0,71,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,81,43,43,80,69,72,0,70,74,0,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,81,45,45,80,67,73,0,68,73,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,77,37,38,78,69,72,85,70,73,0,70,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2130
0,0,0,0,83,44,45,84,74,72,0,73,74,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,88,53,52,89,69,83,0,68,84,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,77,58,58,81,72,83,0,72,84,0,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,82,53,53,82,78,81,0,78,81,87,73,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,84,52,52,84,75,86,0,75,86,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
83,0,0,0,91,51,51,90,72,86,0,72,86,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
83,0,0,0,86,59,59,86,75,0,0,76,0,0,80,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
0,0,0,0,78,58,58,78,73,0,0,73,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2131
